Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201125_Toothless13,"no, didnt takeoff from ini perch",over,around-R,"no, didnt land on ini perch",no,lmax45,yes,,,,
201125_Toothless13bis,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201125_Toothless14,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201125_Toothless15,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201125_Toothless16,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201125_Charmander01,"yes, sort of jump",,,yes,no,lmax55,no,,,,
201125_Charmander02,"yes, sort of jump",,,yes,no,lmax55,no,,,,
201125_Charmander03,"no, didnt takeoff fromo ini perch",,,yes,no,lmax55,no,,,,
201125_Charmander03bis,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander04,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander05,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander06,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander07,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander08,yes,,,yes,yes,lmax55,no,,,,
201125_Charmander09,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201125_Charmander10,yes,around-R,over,yes,yes,lmax55,yes,,,,
201125_Charmander11,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201125_Charmander12,yes,around-R,around-L,yes,yes,lmax55,yes,,,,
201125_Charmander13,"no, didnt takeoff from perch",around-R,around-L,yes,no,lmax55,yes,,,,
201125_Charmander13bis,yes,around-R,over,yes,yes,lmax55,yes,,,,
201125_Charmander14,yes,around-R,around-L/over,yes,yes,lmax55,yes,,,,
201125_Charmander15,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201125_Charmander16,yes,around-R,over/around-L,"no, one foot on it only",no,lmax55,yes,,,,
201125_Ruby01,yes (I think both feet),,,yes,no,4m,no,,,,
